[    4378ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:1420/node_modules/.vite/deps/react-dom_client.js?v=94ea38b1:20102
[  794684ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  800353ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  808127ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  812318ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  818993ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  823747ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  831185ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  835939ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  841485ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  846111ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  852596ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  860188ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  867519ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  871633ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  879220ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  887201ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  894303ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  901227ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  907901ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  912488ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
[  917665ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:1420/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:1420/@vite/client:1034
